# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1257391214380e60
# CUDA_DEVICE 0 GeForce GTX 590
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1258b48c97a9fa80,memset32_aligned1D,168.288,7.718,1,34024,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,13110,0,0,2175,0,25932,0,0,0,0,0,158210,0,155160,0,12930,12984,415488,0,2926463,95771,0,0,816563,170,813765,0,0,4976640,146,813608
1258b48c97ac96c0,memset32_aligned1D,165.312,2.349,1,34024,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,13074,0,0,2155,0,25944,0,0,0,0,0,158839,0,155952,0,12996,12978,415296,0,2923382,95040,0,0,816563,175,813655,0,0,4972032,167,813471
1258b48c97af2760,memset32_aligned1D,5.088,1.678,1,681,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,276,0,0,46,0,540,0,0,0,0,0,3374,0,3096,0,258,276,8832,0,79934,2474,0,0,16332,31,16332,0,0,96768,31,16332
1258b48c97af4620,memset32_aligned1D,1.376,1.678,0.125,1,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,1,0,0,1,0,12,0,0,0,0,0,69,0,57,0,1,6,192,0,2309,385,0,0,2,0,2,0,0,1824,0,2
1258b48c97b0f0c0,memcpyHtoD,1.44,396.324,,,,,,,,,,,0,0,204,0
1258b48c97b9da00,memcpyHtoD,3863.26,4115.94,,,,,,,,,,,0,0,13065000,0
1258b48c97f6f3e0,memcpyHtoD,1.536,6.041,,,,,,,,,,,0,0,40,0
1258b48c97fb56c0,_Z12demodulationPsS_PciiiPf,4863.26,9.732,1,201,25,1,256,1,1,2600,208,17,0,-1,,0,0,0,26376,50240,1657920,26376,314,0,90144,0,0,0,0,24540,5050611,6640,4937888,0,74982,2512,80384,0,114564316,2941902,425032,0,2401950,408787,2389270,0,0,158769664,408763,2389270
1258b48c984596a0,_Z15calChannelDelayPfiiS_i,3.648,2.349,1,1,3,1,512,1,1,0,0,10,0,-1,,0,0,0,160,80,0,0,1,0,128,0,0,0,0,159,1776,1,1504,0,144,16,512,0,27395,1847,12,0,895,51,835,0,0,48128,51,835
1258b48c9845afa0,_Z11beamformingPsS_S_iPfiii,627.872,2.349,1,201,3,1,512,1,1,0,0,20,0,-1,,0,0,0,65128,508,0,0,37,0,32062,0,0,26,0,78154,674830,46636,559948,0,705,624,19968,0,14909925,369512,2818768,0,22482,1575232,20954,0,0,17837288,1572229,20954
1258b48c984f50c0,memcpyDtoH,85.088,6084.81,,,,,,,,,,,0,0,522600,0
