# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12573912143d0a12
# CUDA_DEVICE 0 GeForce GTX 590
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1258b4aa26e53260,memset32_aligned1D,321.056,7.383,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,24684,0,0,4121,0,49776,0,0,0,0,0,302106,0,297288,0,24774,25044,801408,0,5648167,184892,0,0,1572816,278,1569368,0,0,9658368,278,1569192
1258b4aa26ea2360,memset32_aligned1D,13.664,2.014,1,2513,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,924,0,0,159,0,1956,0,0,0,0,0,11767,0,11376,0,948,960,30720,0,227909,7584,0,0,60309,43,59983,0,0,380160,43,59890
1258b4aa26ea6380,memset32_aligned1D,318.272,1.678,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,24882,0,0,4139,0,49644,0,0,0,0,0,302427,0,297504,0,24792,24816,794112,0,5600925,183992,0,0,1572816,283,1568737,0,0,9531648,291,1568548
1258b4aa26ef49a0,memset32_aligned1D,13.696,1.678,1,2513,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,954,0,0,160,0,1944,0,0,0,0,0,11634,0,11592,0,966,990,31680,0,225527,7432,0,0,60309,43,59834,0,0,359424,43,59756
1258b4aa26ef89e0,memset32_aligned1D,8.48,1.678,1,1361,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,498,0,0,87,0,1020,0,0,0,0,0,6231,0,6192,0,516,516,16512,0,135838,4289,0,0,32663,43,32663,0,0,203904,43,32663
1258b4aa26efb5c0,memset32_aligned1D,1.536,1.678,0.125,1,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,1,0,0,1,0,12,0,0,0,0,0,69,0,57,0,1,6,192,0,3521,587,0,0,2,31,2,0,0,1824,31,2
1258b4aa26f12660,memcpyHtoD,1.408,772.178,,,,,,,,,,,0,0,204,0
1258b4aa26f95bc0,memcpyHtoD,7043.74,7208.67,,,,,,,,,,,0,0,26130000,0
1258b4aa27662fc0,memcpyHtoD,1.44,6.041,,,,,,,,,,,0,0,40,0
1258b4aa2767f560,_Z12demodulationPsS_PciiiPf,9689.06,9.732,1,201,25,1,256,1,1,5200,208,17,0,-1,,0,0,0,51315,100142,3336564,51810,314,0,166320,0,0,0,0,44818,9927216,13006,9838080,0,152136,2520,80640,0,216497469,5848106,834412,0,4854150,821388,4841442,0,0,314316032,821295,4841442
1258b4aa27fbd800,_Z15calChannelDelayPfiiS_i,3.584,2.014,1,1,6,1,512,1,1,0,0,10,0,-1,,0,0,0,160,80,0,0,1,0,128,0,0,0,0,159,1758,1,1504,0,128,16,512,0,27527,1795,24,0,1625,51,1625,0,0,48128,51,1625
1258b4aa27fbf0e0,_Z11beamformingPsS_S_iPfiii,1281.15,2.014,1,201,6,1,512,1,1,0,0,20,0,-1,,0,0,0,132320,1024,0,0,72,0,62800,0,0,20,0,146678,1391290,104593,1157006,0,1430,1184,37888,0,31856188,774322,6533164,0,40863,3269168,39250,0,0,36395534,3271628,39250
1258b4aa280f89c0,memcpyDtoH,167.712,11563.5,,,,,,,,,,,0,0,1045200,0
