# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1257391214c25a02
# CUDA_DEVICE 0 GeForce GTX 590
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1258b68f528802c0,memset32_aligned1D,320.96,7.047,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,24840,0,0,4159,0,49848,0,0,0,0,0,305062,0,303192,0,25266,24984,799488,0,5655081,185224,0,0,1572816,274,1569495,0,0,9482112,262,1569318
1258b68f528cf360,memset32_aligned1D,198.656,2.014,1,40855,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,15372,0,0,2603,0,31104,0,0,0,0,0,187918,0,187848,0,15654,15516,496512,0,3505489,114789,0,0,980513,187,976395,0,0,6038784,187,976210
1258b68f52900640,memset32_aligned1D,318.272,1.678,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,24882,0,0,4209,0,49908,0,0,0,0,0,306047,0,302688,0,25224,25080,802560,0,5629304,183795,0,0,1572816,271,1568499,0,0,9628416,291,1568309
1258b68f5294ec60,memset32_aligned1D,198.592,1.342,1,40855,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,15504,0,0,2571,0,31296,0,0,0,0,0,190674,0,183744,0,15312,15582,498624,0,3520264,115115,0,0,980513,183,976487,0,0,5970816,187,976302
1258b68f5297fee0,memset8,46.848,1.678,1,2128,1,1,192,1,1,0,0,8,0,-1,,0,0,0,0,806,0,0,134,0,8101,0,0,1,0,0,41471,0,41015,0,1609,804,25728,0,1192294,27507,0,0,63835,51,54474,0,0,1287906,51,54474
1258b68f5298c0e0,memset32_aligned1D,1.536,2.349,0.125,1,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,1,0,0,1,0,12,0,0,0,0,0,69,0,57,0,1,6,192,0,3519,587,0,0,2,31,2,0,0,1824,31,2
1258b68f52995c60,memcpyHtoD,1.408,1148.37,,,,,,,,,,,0,0,204,0
1258b68f52a16b20,memcpyHtoD,11078.4,11289.7,,,,,,,,,,,0,0,40853250,0
1258b68f534baa20,memcpyHtoD,1.408,6.041,,,,,,,,,,,0,0,40,0
1258b68f534d8900,_Z12demodulationPsS_PciiiPf,15294.9,9.732,0.833,201,25,1,256,1,1,8130,208,18,0,-1,,0,0,0,81212,159896,5259870,80955,315,0,332640,0,0,0,0,79121,15561682,20383,15210788,0,238164,2512,80384,0,299990897,9254566,1300396,0,7616644,1282480,7606989,0,0,487523136,1282643,7606989
1258b68f5436f580,_Z15calChannelDelayPfiiS_i,4.224,4.363,1,1,8,1,512,1,1,0,0,10,0,-1,,0,0,0,160,80,0,0,1,0,128,0,0,0,0,159,1809,1,1472,0,144,16,512,0,28338,1939,32,0,3053,51,2684,0,0,47104,51,2684
1258b68f543710e0,_Z11beamformingPsS_S_iPfiii,3980.38,2.014,0.667,201,8,1,512,1,1,0,0,22,0,-1,,0,0,0,157400,1600,0,0,102,0,99284,0,0,24,0,221244,3493217,78610,1667708,0,2387,1600,51200,0,75451942,2419000,4983204,0,75131,4844961,73534,0,0,53157098,4846485,73534
1258b68f5473d9c0,memcpyDtoH,266.176,20142.7,,,,,,,,,,,0,0,1634130,0
