# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1257391214c4218b
# CUDA_DEVICE 0 GeForce GTX 590
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1258b697dc1b0900,memset32_aligned1D,321.248,9.061,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,24846,0,0,4163,0,49728,0,0,0,0,0,305500,0,297288,0,24774,25206,806592,0,5637764,185227,0,0,1572816,282,1570086,0,0,9604224,274,1569913
1258b697dc1ffaa0,memset32_aligned1D,301.44,3.356,1,62054,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,23568,0,0,3928,0,47268,0,0,0,0,0,288465,0,282600,0,23550,23772,760704,0,5327831,174054,0,0,1489294,283,1485604,0,0,9072000,275,1485415
1258b697dc249f00,memset32_aligned1D,318.208,3.02,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,24984,0,0,4185,0,50208,0,0,0,0,0,304154,0,301680,0,25140,24804,793728,0,5582529,184066,0,0,1572816,291,1568357,0,0,9628416,279,1568171
1258b697dc2984e0,memset32_aligned1D,301.408,1.678,1,62054,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,23700,0,0,3894,0,47448,0,0,0,0,0,287104,0,279288,0,23274,23562,753984,0,5331567,173900,0,0,1489294,275,1485738,0,0,9061632,267,1485561
1258b697dc2e2920,memset8,55.84,2.685,1,2552,1,1,192,1,1,0,0,8,0,-1,,0,0,0,0,968,0,0,158,0,9601,0,0,1,0,0,50449,0,48359,0,1897,948,30336,0,1373724,33238,0,0,76555,47,65354,0,0,1581666,47,65354
1258b697dc2f0e20,memset32_aligned1D,1.536,2.685,0.125,1,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,1,0,0,1,0,12,0,0,0,0,0,69,0,57,0,1,6,192,0,3509,587,0,0,2,31,2,0,0,1824,31,2
1258b697dc2fe480,memcpyHtoD,1.408,1362.81,,,,,,,,,,,0,0,204,0
1258b697dc387220,memcpyHtoD,13669.6,13921.4,,,,,,,,,,,0,0,48993750,0
1258b697dd0ab840,memcpyHtoD,1.408,10.739,,,,,,,,,,,0,0,40,0
1258b697dd0cf700,_Z12demodulationPsS_PciiiPf,18457.8,10.739,0.667,201,25,1,256,1,1,9750,208,18,0,-1,,0,0,0,96705,191520,6280032,96091,313,0,401920,0,0,0,0,94590,18717052,24347,18329220,0,286984,2512,80384,0,337730566,11178024,1557224,0,9146756,1538171,9100949,0,0,585604096,1538003,9100949
1258b697de26a680,_Z15calChannelDelayPfiiS_i,3.936,4.363,1,1,10,1,512,1,1,0,0,10,0,-1,,0,0,0,160,80,0,0,1,0,128,0,0,0,0,159,1743,1,1472,0,144,16,512,0,26554,1775,40,0,3659,43,3185,0,0,47104,43,3185
1258b697de26c0c0,_Z11beamformingPsS_S_iPfiii,4795.58,3.02,0.667,201,10,1,512,1,1,0,0,22,0,-1,,0,0,0,191160,1934,0,0,125,0,118388,0,0,24,0,265064,4267610,96505,2003812,0,2814,2032,65024,0,90786994,2880610,6112148,0,90007,5917163,87809,0,0,64511744,5909421,87809
1258b697de6ffa00,memcpyDtoH,318.528,24409.7,,,,,,,,,,,0,0,1959750,0
