# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1257391214c62f14
# CUDA_DEVICE 0 GeForce GTX 590
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1258b6a2f5de9260,memset32_aligned1D,320.928,9.061,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,24612,0,0,4131,0,49296,0,0,0,0,0,303070,0,296712,0,24726,24678,789696,0,5621022,184274,0,0,1572816,295,1568482,0,0,9528192,295,1568296
1258b6a2f5e382c0,memset32_aligned1D,318.368,2.349,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,24642,0,0,4106,0,49776,0,0,0,0,0,304097,0,299232,0,24936,24846,795072,0,5612145,184237,0,0,1572816,279,1569175,0,0,9509760,279,1569003
1258b6a2f5e869c0,memset32_aligned1D,190.016,1.678,1,39050,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,14796,0,0,2467,0,29760,0,0,0,0,0,177791,0,179988,0,14996,14712,470784,0,3327131,109556,0,0,937181,191,933537,0,0,5691840,179,933351
1258b6a2f5eb5ac0,memset32_aligned1D,318.496,1.678,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,24798,0,0,4144,0,49740,0,0,0,0,0,303178,0,297144,0,24762,25080,802560,0,5608048,184085,0,0,1572816,268,1569168,0,0,9573120,288,1568980
1258b6a2f5f04200,memset32_aligned1D,318.24,1.342,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,24714,0,0,4162,0,49980,0,0,0,0,0,306777,0,297864,0,24822,25206,806592,0,5599191,184530,0,0,1572816,287,1569526,0,0,9502848,263,1569337
1258b6a2f5f527e0,memset32_aligned1D,189.696,1.342,1,39050,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,14748,0,0,2453,0,29820,0,0,0,0,0,180789,0,179064,0,14922,14796,473472,0,3334353,109816,0,0,937181,171,933181,0,0,5692992,159,932994
1258b6a2f5f817a0,memset32_aligned1D,17.76,1.342,1,3403,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,1320,0,0,219,0,2580,0,0,0,0,0,15915,0,15336,0,1278,1314,42048,0,305554,10013,0,0,81657,43,81535,0,0,504576,43,81512
1258b6a2f5f867e0,memset32_aligned1D,1.504,1.342,0.125,1,1,1,192,1,1,0,0,3,0,-1,,0,0,0,0,1,0,0,1,0,12,0,0,0,0,0,69,0,57,0,1,6,192,0,3509,587,0,0,2,31,2,0,0,1824,31,2
1258b6a2f5f920e0,memcpyHtoD,1.408,1743.36,,,,,,,,,,,0,0,204,0
1258b6a2f601cf40,memcpyHtoD,18023.2,18272.5,,,,,,,,,,,0,0,65325000,0
1258b6a2f7195ce0,memcpyHtoD,1.792,5.705,,,,,,,,,,,0,0,40,0
1258b6a2f71b4e60,_Z12demodulationPsS_PciiiPf,24837.5,9.732,0.5,201,25,1,256,1,1,13000,208,18,0,-1,,0,0,0,128835,255150,8393220,128426,314,0,519168,0,0,0,0,118844,24889576,32301,24279108,0,381344,2512,80384,0,349641733,15093616,2075436,0,12200700,2048011,12038262,0,0,776931456,2048780,12038262
1258b6a2f89656a0,_Z15calChannelDelayPfiiS_i,4.192,2.349,1,1,13,1,512,1,1,0,0,10,0,-1,,0,0,0,160,80,0,0,1,0,128,0,0,0,0,159,1783,1,1472,0,144,16,512,0,29120,1937,52,0,4471,51,4227,0,0,47104,51,4227
1258b6a2f89671c0,_Z11beamformingPsS_S_iPfiii,6449.89,2.014,0.667,201,13,1,512,1,1,0,0,22,0,-1,,0,0,0,255488,2576,0,0,164,0,159089,0,0,26,0,357740,5655798,128228,2685129,0,3737,2624,83968,0,122102380,3880578,8274816,0,112257,8029542,109632,0,0,86340052,8024574,109632
1258b6a2f8f8e920,memcpyDtoH,1194.5,32776.1,,,,,,,,,,,0,0,2613000,0
